mean_score,median_score,max_score,min_score,evaluation_seed,num_games,evaluator_type,evaluator_config,heuristic,scores,extra_info
3457.46,2613.5,12921,52,42,100,tetris.heuristic_bot_gym.evaluators.parallel_within_bot.ParallelWithinBotEvaluator,"{'board_size': (15, 10), 'max_evaluation_frames': 100000, 'block_selection_fn_from_seed': <function SpawnStrategyImpl.truly_random_select_fn>, 'ui_class': <class 'tetris.ui.cli.ui.CLI'>, 'fps': 60, 'score_log_freq': 1000}","Heuristic(sum_of_cell_heights_close_to_top_weight=32.80534588664112, num_distinct_overhangs_weight=15.99757380107417, num_rows_with_overhung_holes_weight=12.916980867286318, num_overhung_cells_weight=0.16984836708585338, num_overhanging_cells_weight=0.0691333150732347, num_narrow_gaps_weight=20.641164244454608, sum_of_cell_heights_weight=0.05610484187528708, sum_of_adjacent_height_differences_weight=4.371468144344896, close_to_top_threshold=2)","[3700, 923, 10455, 4359, 7367, 564, 4300, 6569, 1004, 3093, 710, 7585, 2432, 426, 1556, 3967, 1519, 1812, 576, 82, 3488, 2000, 1557, 4379, 2726, 575, 635, 3414, 3190, 1491, 723, 6759, 2307, 52, 1378, 2936, 4558, 2592, 1302, 10529, 10245, 1505, 1860, 1052, 4412, 2652, 1031, 2300, 3635, 918, 5856, 2776, 1325, 2897, 3579, 1759, 197, 1675, 3597, 4227, 940, 8729, 5802, 12730, 7135, 10835, 2620, 439, 1309, 2648, 2214, 1935, 131, 11217, 9549, 3065, 3442, 117, 993, 4416, 2125, 6964, 716, 986, 1323, 695, 1597, 12921, 1313, 4333, 4509, 8656, 10060, 3439, 5827, 3404, 4142, 2607, 424, 2351]","{'checkpoint': 'D:\\dev\\python\\tetris_tdd\\src\\tetris\\heuristic_bot_gym\\.checkpoints\\15x10\\super_elitism\\2025-02-15_20-34-52_fitness-7171.pkl', 'top_k': 1}"
2092.35,1067.5,14051,42,42,100,tetris.heuristic_bot_gym.evaluators.parallel_within_bot.ParallelWithinBotEvaluator,"{'board_size': (15, 10), 'max_evaluation_frames': 100000, 'block_selection_fn_from_seed': <function SpawnStrategyImpl.truly_random_select_fn>, 'ui_class': <class 'tetris.ui.cli.ui.CLI'>, 'fps': 60, 'score_log_freq': 1000}","Heuristic(sum_of_cell_heights_close_to_top_weight=41.12647915103142, num_distinct_overhangs_weight=17.659387736508815, num_rows_with_overhung_holes_weight=24.46583017341347, num_overhung_cells_weight=0.13460294723787106, num_overhanging_cells_weight=0.12090286206539189, num_narrow_gaps_weight=22.71309745786701, sum_of_cell_heights_weight=0.067887691643845, sum_of_adjacent_height_differences_weight=4.772176382713201, close_to_top_threshold=3)","[4464, 3145, 1926, 530, 1935, 1044, 710, 1091, 488, 599, 1257, 9185, 472, 1417, 1561, 428, 951, 14051, 126, 5692, 1117, 7295, 1533, 61, 392, 5055, 624, 1668, 885, 928, 371, 674, 697, 10857, 753, 1622, 1114, 50, 6358, 984, 563, 3570, 618, 221, 334, 3680, 1039, 3636, 2270, 1187, 1913, 2540, 3041, 4327, 203, 1186, 112, 863, 1674, 915, 403, 272, 6804, 9245, 4790, 763, 324, 298, 805, 333, 400, 1116, 1659, 315, 964, 362, 477, 370, 1191, 396, 7083, 922, 1530, 172, 1401, 11094, 2573, 42, 753, 2255, 914, 3777, 3188, 2635, 1556, 3991, 879, 3205, 1168, 808]","{'checkpoint': 'D:\\dev\\python\\tetris_tdd\\src\\tetris\\heuristic_bot_gym\\.checkpoints\\15x10\\super_elitism\\2025-02-15_20-26-51_fitness-13544.pkl', 'top_k': 1}"
1228.92,615.0,5814,19,42,50,tetris.heuristic_bot_gym.evaluators.parallel_within_bot.ParallelWithinBotEvaluator,"{'board_size': (15, 10), 'max_evaluation_frames': 100000, 'block_selection_fn_from_seed': <function SpawnStrategyImpl.truly_random_select_fn>, 'ui_class': <class 'tetris.ui.cli.ui.CLI'>, 'fps': 60, 'score_log_freq': 1000}","Heuristic(sum_of_cell_heights_close_to_top_weight=9.35598409799272, num_distinct_overhangs_weight=12.982633740187568, num_rows_with_overhung_holes_weight=16.179365041836274, num_overhung_cells_weight=2.748434858647589, num_overhanging_cells_weight=0.0009177406537499381, num_narrow_gaps_weight=33.61205474001687, sum_of_cell_heights_weight=0.009445136627708841, sum_of_adjacent_height_differences_weight=2.1189370831495404, close_to_top_threshold=3)","[1738, 881, 4905, 596, 233, 1446, 290, 5814, 173, 2653, 691, 285, 19, 258, 3820, 3023, 52, 1827, 891, 109, 1711, 475, 715, 439, 36, 981, 430, 1861, 3205, 1463, 53, 3258, 90, 826, 376, 416, 45, 146, 634, 4878, 376, 1049, 2161, 3034, 160, 411, 1609, 394, 44, 466]","{'checkpoint': 'D:\\dev\\python\\tetris_tdd\\src\\tetris\\heuristic_bot_gym\\.checkpoints\\15x10\\super_elitism\\2025-02-15_20-12-04_fitness-7416.pkl', 'top_k': 1}"
3185.98,2051.0,16920,47,42,50,tetris.heuristic_bot_gym.evaluators.parallel_within_bot.ParallelWithinBotEvaluator,"{'board_size': (15, 10), 'max_evaluation_frames': 100000, 'block_selection_fn_from_seed': <function SpawnStrategyImpl.truly_random_select_fn>, 'ui_class': <class 'tetris.ui.cli.ui.CLI'>, 'fps': 60, 'score_log_freq': 1000}","Heuristic(sum_of_cell_heights_close_to_top_weight=41.1966380427213, num_distinct_overhangs_weight=18.426198211403975, num_rows_with_overhung_holes_weight=5.1318331468202905, num_overhung_cells_weight=0.3868886561359057, num_overhanging_cells_weight=0.10237398619706589, num_narrow_gaps_weight=17.099467569175236, sum_of_cell_heights_weight=0.04723794535268845, sum_of_adjacent_height_differences_weight=3.709133675594846, close_to_top_threshold=2)","[1382, 1885, 922, 5001, 3465, 3155, 10776, 3140, 3437, 1354, 3687, 276, 47, 4778, 147, 3172, 5839, 1082, 2199, 12963, 2130, 672, 716, 9808, 5692, 1972, 3312, 3181, 530, 1644, 505, 1695, 784, 1435, 1045, 1633, 1359, 2142, 8393, 1568, 1346, 3193, 500, 413, 731, 2751, 3324, 16920, 3435, 7763]","{'checkpoint': 'D:\\dev\\python\\tetris_tdd\\src\\tetris\\heuristic_bot_gym\\.checkpoints\\15x10\\finetuning\\2025-02-14_22-24-43_fitness-14355.pkl', 'top_k': 1}"
4160.12,2858.0,16272,91,42,50,tetris.heuristic_bot_gym.evaluators.parallel_within_bot.ParallelWithinBotEvaluator,"{'board_size': (15, 10), 'max_evaluation_frames': 100000, 'block_selection_fn_from_seed': <function SpawnStrategyImpl.truly_random_select_fn>, 'ui_class': <class 'tetris.ui.cli.ui.CLI'>, 'fps': 60, 'score_log_freq': 1000}","Heuristic(sum_of_cell_heights_close_to_top_weight=46.49346597690028, num_distinct_overhangs_weight=16.671383598639068, num_rows_with_overhung_holes_weight=4.863803482467189, num_overhung_cells_weight=0.4441174618189113, num_overhanging_cells_weight=0.09285424546000078, num_narrow_gaps_weight=18.836249832987072, sum_of_cell_heights_weight=0.0410836423312041, sum_of_adjacent_height_differences_weight=3.0992367171601334, close_to_top_threshold=2)","[2461, 6759, 2229, 1461, 8640, 10433, 2197, 946, 3478, 1082, 2003, 1266, 5237, 2809, 10079, 2907, 13732, 2441, 10305, 2326, 16272, 2281, 526, 2241, 1239, 4032, 584, 6107, 5825, 6152, 3289, 8037, 4593, 907, 593, 91, 7358, 2967, 1355, 3052, 10041, 2012, 1335, 374, 353, 3388, 2575, 2946, 11182, 3508]","{'checkpoint': 'D:\\dev\\python\\tetris_tdd\\src\\tetris\\heuristic_bot_gym\\.checkpoints\\15x10\\finetuning\\2025-02-14_22-06-40_fitness-17088.pkl', 'top_k': 1}"
3045.78,2425.5,12679,142,42,50,tetris.heuristic_bot_gym.evaluators.parallel_within_bot.ParallelWithinBotEvaluator,"{'board_size': (15, 10), 'max_evaluation_frames': 100000, 'block_selection_fn_from_seed': <function SpawnStrategyImpl.truly_random_select_fn>, 'ui_class': <class 'tetris.ui.cli.ui.CLI'>, 'fps': 60, 'score_log_freq': 1000}","Heuristic(sum_of_cell_heights_close_to_top_weight=13.01846062578121, num_distinct_overhangs_weight=20.759791588399505, num_rows_with_overhung_holes_weight=32.88453316306198, num_overhung_cells_weight=0.0409577635620096, num_overhanging_cells_weight=0.0712766381574624, num_narrow_gaps_weight=36.6100049512861, sum_of_cell_heights_weight=0.08717740690328991, sum_of_adjacent_height_differences_weight=6.934295962992786, close_to_top_threshold=3)","[7339, 3308, 2859, 12679, 7857, 2958, 2520, 4346, 2331, 503, 5049, 4083, 2191, 11244, 320, 1012, 3330, 359, 454, 4123, 2138, 143, 630, 1793, 151, 551, 1510, 997, 273, 6239, 2807, 1803, 6979, 6746, 2731, 1114, 12410, 618, 3385, 1435, 663, 3423, 1855, 142, 2669, 2755, 3358, 222, 433, 3451]","{'checkpoint': 'D:\\dev\\python\\tetris_tdd\\src\\tetris\\heuristic_bot_gym\\.checkpoints\\15x10\\finetuning\\2025-02-14_21-45-19_fitness-15984.pkl', 'top_k': 1}"
3235.2,2022.0,11614,55,42,50,tetris.heuristic_bot_gym.evaluators.parallel_within_bot.ParallelWithinBotEvaluator,"{'board_size': (15, 10), 'max_evaluation_frames': 100000, 'block_selection_fn_from_seed': <function SpawnStrategyImpl.truly_random_select_fn>, 'ui_class': <class 'tetris.ui.cli.ui.CLI'>, 'fps': 60, 'score_log_freq': 1000}","Heuristic(sum_of_cell_heights_close_to_top_weight=59.4978353122556, num_distinct_overhangs_weight=19.705590484240812, num_rows_with_overhung_holes_weight=4.929028278826236, num_overhung_cells_weight=0.6094355901287947, num_overhanging_cells_weight=0.10424304108932346, num_narrow_gaps_weight=19.046819962621882, sum_of_cell_heights_weight=0.046137087798443326, sum_of_adjacent_height_differences_weight=3.169668478839592, close_to_top_threshold=2)","[1917, 2011, 933, 599, 1564, 2529, 55, 1789, 3112, 7488, 723, 298, 976, 5942, 5579, 4237, 941, 4001, 5779, 2585, 521, 9868, 1555, 1348, 5652, 549, 8951, 2454, 798, 3695, 570, 2177, 919, 551, 754, 93, 5557, 2033, 1667, 6841, 5911, 5545, 561, 11614, 1175, 2454, 1343, 10155, 5967, 7424]","{'checkpoint': 'D:\\dev\\python\\tetris_tdd\\src\\tetris\\heuristic_bot_gym\\.checkpoints\\15x10\\finetuning\\2025-02-14_21-29-15_fitness-11822.pkl', 'top_k': 1}"
3356.84,2787.0,11814,91,42,50,tetris.heuristic_bot_gym.evaluators.parallel_within_bot.ParallelWithinBotEvaluator,"{'board_size': (15, 10), 'max_evaluation_frames': 100000, 'block_selection_fn_from_seed': <function SpawnStrategyImpl.truly_random_select_fn>, 'ui_class': <class 'tetris.ui.cli.ui.CLI'>, 'fps': 60, 'score_log_freq': 1000}","Heuristic(sum_of_cell_heights_close_to_top_weight=13.384366115472412, num_distinct_overhangs_weight=19.69900793802978, num_rows_with_overhung_holes_weight=32.72000513523274, num_overhung_cells_weight=0.052730657927202315, num_overhanging_cells_weight=0.07290079166232638, num_narrow_gaps_weight=34.37114973324624, sum_of_cell_heights_weight=0.08700030029717233, sum_of_adjacent_height_differences_weight=5.841358500820853, close_to_top_threshold=3)","[1275, 4016, 926, 483, 4092, 6684, 417, 1762, 521, 5391, 5194, 8493, 1877, 1445, 2585, 6503, 936, 3635, 8890, 5162, 3464, 6456, 1508, 826, 6482, 11814, 290, 3923, 840, 6384, 342, 6661, 4325, 623, 7472, 91, 1342, 2550, 700, 2989, 6468, 4988, 1410, 344, 124, 2454, 3445, 4480, 868, 3892]","{'checkpoint': 'D:\\dev\\python\\tetris_tdd\\src\\tetris\\heuristic_bot_gym\\.checkpoints\\15x10\\finetuning\\2025-02-14_21-08-57_fitness-17454.pkl', 'top_k': 1}"
3387.82,2264.0,12553,151,42,50,tetris.heuristic_bot_gym.evaluators.parallel_within_bot.ParallelWithinBotEvaluator,"{'board_size': (15, 10), 'max_evaluation_frames': 100000, 'block_selection_fn_from_seed': <function SpawnStrategyImpl.truly_random_select_fn>, 'ui_class': <class 'tetris.ui.cli.ui.CLI'>, 'fps': 60, 'score_log_freq': 1000}","Heuristic(sum_of_cell_heights_close_to_top_weight=12.905948126555106, num_distinct_overhangs_weight=20.436743451691495, num_rows_with_overhung_holes_weight=32.04543496579138, num_overhung_cells_weight=0.037786548992525336, num_overhanging_cells_weight=0.06876838050770798, num_narrow_gaps_weight=37.46739904202899, sum_of_cell_heights_weight=0.08588186835260463, sum_of_adjacent_height_differences_weight=6.836535116450468, close_to_top_threshold=3)","[3894, 2054, 2254, 12553, 1802, 4814, 7481, 5691, 988, 503, 373, 2021, 6770, 1286, 3139, 6787, 4907, 9672, 443, 2734, 1685, 9017, 290, 6610, 151, 575, 1304, 997, 1824, 4248, 534, 1422, 855, 2274, 748, 5182, 2470, 2213, 2891, 11464, 2439, 2807, 1855, 348, 4008, 10603, 1816, 1984, 4085, 2526]","{'checkpoint': 'D:\\dev\\python\\tetris_tdd\\src\\tetris\\heuristic_bot_gym\\.checkpoints\\15x10\\finetuning\\2025-02-14_20-52-56_fitness-11437.pkl', 'top_k': 1}"
2685.8,2132.5,9618,142,42,50,tetris.heuristic_bot_gym.evaluators.parallel_within_bot.ParallelWithinBotEvaluator,"{'board_size': (15, 10), 'max_evaluation_frames': 100000, 'block_selection_fn_from_seed': <function SpawnStrategyImpl.truly_random_select_fn>, 'ui_class': <class 'tetris.ui.cli.ui.CLI'>, 'fps': 60, 'score_log_freq': 1000}","Heuristic(sum_of_cell_heights_close_to_top_weight=13.462793138849076, num_distinct_overhangs_weight=19.834133093569363, num_rows_with_overhung_holes_weight=31.09211846562031, num_overhung_cells_weight=0.046981633337610997, num_overhanging_cells_weight=0.07125827415927817, num_narrow_gaps_weight=32.942614132909824, sum_of_cell_heights_weight=0.08850440773576723, sum_of_adjacent_height_differences_weight=6.2758955692003, close_to_top_threshold=3)","[1327, 6722, 2711, 4647, 2410, 2265, 2098, 4772, 9618, 3323, 1529, 4704, 173, 1286, 268, 4831, 3127, 2660, 4632, 2181, 1706, 4993, 4083, 3199, 1199, 4691, 7873, 1485, 1579, 409, 729, 1417, 201, 3708, 3327, 1354, 1336, 248, 234, 3269, 1009, 6861, 1300, 142, 1333, 2167, 6766, 1880, 259, 249]","{'checkpoint': 'D:\\dev\\python\\tetris_tdd\\src\\tetris\\heuristic_bot_gym\\.checkpoints\\15x10\\finetuning\\2025-02-14_20-34-16_fitness-12397.pkl', 'top_k': 1}"
