mean_score,median_score,max_score,min_score,evaluation_seed,num_games,evaluator_type,evaluator_config,heuristic,scores,extra_info
4271.16,2895.0,23771,66,13,200,tetris.heuristic_bot_gym.evaluators.parallel_within_bot.ParallelWithinBotEvaluator,"{'board_size': (15, 10), 'max_evaluation_frames': 1000000, 'block_selection_fn_from_seed': <function SpawnStrategyImpl.truly_random_select_fn>, 'ui_class': <class 'tetris.ui.cli.ui.CLI'>, 'fps': 60, 'score_log_freq': 1000}","Heuristic(sum_of_cell_heights_close_to_top_weight=41.42967036153849, num_distinct_overhangs_weight=14.529591048524448, num_rows_with_overhung_holes_weight=8.017452198498912, num_overhung_cells_weight=0.5906781395758662, num_overhanging_cells_weight=0.04572048219520809, num_narrow_gaps_weight=22.900970176119735, sum_of_cell_heights_weight=0.04672889773998223, sum_of_adjacent_height_differences_weight=3.762824601237703, close_to_top_threshold=2)","[3408, 127, 3487, 2808, 4217, 3865, 1203, 5911, 3933, 2068, 4216, 1007, 210, 6171, 6584, 194, 179, 14562, 1903, 4265, 7055, 4200, 2598, 9365, 3907, 339, 7688, 5583, 3951, 3243, 975, 2074, 2957, 2204, 894, 8664, 2421, 2454, 5473, 4563, 137, 1249, 5364, 2810, 4698, 88, 3594, 4593, 2050, 1658, 5445, 888, 1294, 122, 1478, 5913, 462, 2018, 790, 306, 5040, 1226, 342, 5977, 5157, 2832, 192, 7894, 11585, 1885, 3494, 3912, 1161, 11033, 66, 8152, 106, 8731, 954, 2933, 2158, 9806, 2857, 833, 4181, 15122, 3387, 6027, 14008, 8683, 6039, 1645, 7150, 2306, 4396, 2467, 9818, 4618, 5702, 2592, 5733, 1525, 1041, 3065, 5674, 6117, 1280, 1831, 1841, 843, 12730, 1935, 13477, 569, 7312, 2156, 1111, 7241, 9057, 792, 1788, 3418, 2963, 18219, 10289, 2363, 159, 2512, 2473, 4683, 940, 3629, 3936, 6959, 4691, 14508, 576, 10789, 10394, 6000, 1313, 1381, 481, 4210, 11358, 2686, 205, 1997, 6930, 4405, 1027, 708, 6646, 4995, 15698, 2550, 23771, 1317, 5517, 6068, 2001, 996, 849, 3139, 13363, 11114, 2308, 2672, 1199, 1349, 17953, 433, 1933, 1577, 2332, 1898, 519, 4726, 7324, 539, 7248, 1083, 137, 3267, 6360, 1389, 1127, 20315, 4353, 339, 2984, 1037, 1664, 3361, 5527, 896, 2276, 18654, 923, 836]","{'checkpoint': 'D:\\dev\\python\\tetris_tdd\\src\\tetris\\heuristic_bot_gym\\.checkpoints\\15x10\\2025-02-14_17-39-56_fitness-11285.pkl', 'top_k': 3, 'previous_mean_score': 4863.68, 'previous_median_score': 3304.5, 'previous_max_score': 24722, 'previous_min_score': 164}"
3965.645,2933.5,23437,68,13,200,tetris.heuristic_bot_gym.evaluators.parallel_within_bot.ParallelWithinBotEvaluator,"{'board_size': (15, 10), 'max_evaluation_frames': 1000000, 'block_selection_fn_from_seed': <function SpawnStrategyImpl.truly_random_select_fn>, 'ui_class': <class 'tetris.ui.cli.ui.CLI'>, 'fps': 60, 'score_log_freq': 1000}","Heuristic(sum_of_cell_heights_close_to_top_weight=40.89457607843424, num_distinct_overhangs_weight=18.22445229206337, num_rows_with_overhung_holes_weight=5.065240858045357, num_overhung_cells_weight=0.3912644095631127, num_overhanging_cells_weight=0.10027611440722689, num_narrow_gaps_weight=17.56913864221128, sum_of_cell_heights_weight=0.04753922538922408, sum_of_adjacent_height_differences_weight=3.85145041256396, close_to_top_threshold=2)","[6840, 2379, 2915, 1498, 2612, 5751, 660, 4903, 1998, 4627, 1994, 1099, 1177, 9782, 6436, 3177, 432, 287, 11167, 348, 2854, 5374, 7266, 8965, 243, 7556, 3811, 2273, 3035, 3302, 3988, 1282, 1923, 4843, 1701, 4999, 7848, 7613, 1784, 320, 2818, 7003, 1142, 5977, 4479, 1262, 7023, 5263, 2785, 7610, 1359, 3794, 5707, 3363, 2620, 3551, 2776, 1043, 2328, 1750, 545, 9967, 12752, 6192, 11328, 1066, 6924, 3172, 427, 6633, 17116, 94, 949, 12424, 2604, 718, 558, 4047, 6193, 4497, 15593, 2952, 1913, 3983, 5910, 7432, 7162, 2912, 129, 1295, 4159, 2794, 5089, 705, 6259, 10683, 914, 190, 267, 4768, 1588, 6307, 3748, 7318, 682, 1631, 3242, 16241, 3918, 371, 4630, 2233, 4187, 3122, 3411, 1502, 154, 1413, 7823, 2414, 5015, 6384, 12248, 819, 926, 1903, 2025, 9536, 2100, 3555, 3803, 397, 1157, 614, 4210, 163, 2470, 8817, 6064, 104, 1142, 1964, 16206, 3504, 135, 705, 521, 848, 7087, 3813, 6594, 3356, 3639, 960, 627, 5747, 2898, 68, 3547, 1208, 455, 70, 1473, 306, 2522, 7605, 4946, 6005, 10622, 2654, 1605, 13245, 1036, 4208, 150, 2963, 1817, 23437, 4233, 4526, 2531, 2542, 2548, 1131, 6985, 1213, 330, 462, 3977, 9014, 741, 3037, 2234, 2194, 1170, 4515, 2276, 5038, 9661, 6808]","{'checkpoint': 'D:\\dev\\python\\tetris_tdd\\src\\tetris\\heuristic_bot_gym\\.checkpoints\\15x10\\finetuning\\2025-02-14_19-52-53_fitness-13284.pkl', 'top_k': 3, 'previous_mean_score': 4849.3, 'previous_median_score': 3979.5, 'previous_max_score': 27763, 'previous_min_score': 51}"
3807.57,2639.0,16785,56,13,200,tetris.heuristic_bot_gym.evaluators.parallel_within_bot.ParallelWithinBotEvaluator,"{'board_size': (15, 10), 'max_evaluation_frames': 1000000, 'block_selection_fn_from_seed': <function SpawnStrategyImpl.truly_random_select_fn>, 'ui_class': <class 'tetris.ui.cli.ui.CLI'>, 'fps': 60, 'score_log_freq': 1000}","Heuristic(sum_of_cell_heights_close_to_top_weight=37.652763984182684, num_distinct_overhangs_weight=16.877752999883597, num_rows_with_overhung_holes_weight=7.943677640345351, num_overhung_cells_weight=0.4779122479971236, num_overhanging_cells_weight=0.038490107345981565, num_narrow_gaps_weight=18.114996501107665, sum_of_cell_heights_weight=0.04765174391968494, sum_of_adjacent_height_differences_weight=3.7514188813751512, close_to_top_threshold=2)","[91, 2620, 3787, 4177, 6018, 8557, 56, 3432, 6454, 3742, 2447, 3845, 864, 332, 4996, 2176, 4429, 2521, 16593, 1039, 4367, 1387, 899, 5378, 3111, 16785, 3531, 2315, 3957, 1940, 496, 1007, 15313, 1584, 4607, 6892, 378, 693, 1979, 1303, 5441, 6182, 2363, 598, 10905, 2883, 165, 250, 1680, 515, 2151, 2986, 786, 3354, 6352, 1498, 1186, 1376, 2265, 1808, 4000, 5271, 5421, 1079, 7098, 891, 4203, 8057, 3416, 1150, 7840, 5542, 1109, 498, 2286, 8227, 77, 268, 2249, 9459, 81, 4993, 13700, 7539, 8397, 14594, 1300, 5994, 1187, 1286, 3797, 1658, 5840, 1404, 1489, 9685, 908, 10338, 1388, 6178, 1069, 2557, 904, 8494, 2240, 1445, 6464, 2658, 100, 935, 1135, 7863, 9888, 1519, 3559, 6188, 609, 10634, 2107, 1201, 2269, 5032, 2915, 1631, 918, 6091, 2434, 15085, 223, 4153, 832, 4449, 2924, 781, 3561, 280, 4725, 3097, 953, 166, 2853, 1189, 5253, 5560, 2936, 2797, 1104, 852, 821, 1676, 2005, 1303, 2620, 14815, 5242, 7069, 2339, 3997, 1291, 5030, 2579, 4305, 809, 1902, 10313, 1130, 7701, 7191, 3611, 4498, 7579, 4802, 60, 3832, 1292, 193, 1383, 4099, 14359, 1294, 288, 816, 1642, 8950, 6104, 8619, 3992, 5509, 3086, 2468, 57, 5206, 1484, 6021, 3134, 3358, 976, 11337, 8802, 1154]","{'checkpoint': 'D:\\dev\\python\\tetris_tdd\\src\\tetris\\heuristic_bot_gym\\.checkpoints\\15x10\\2025-02-14_11-27-36_fitness-11111.pkl', 'top_k': 1, 'previous_mean_score': 4840.4, 'previous_median_score': 3263.5, 'previous_max_score': 25025, 'previous_min_score': 385}"
4313.54,3042.0,28752,57,13,200,tetris.heuristic_bot_gym.evaluators.parallel_within_bot.ParallelWithinBotEvaluator,"{'board_size': (15, 10), 'max_evaluation_frames': 1000000, 'block_selection_fn_from_seed': <function SpawnStrategyImpl.truly_random_select_fn>, 'ui_class': <class 'tetris.ui.cli.ui.CLI'>, 'fps': 60, 'score_log_freq': 1000}","Heuristic(sum_of_cell_heights_close_to_top_weight=48.911622877632894, num_distinct_overhangs_weight=16.81028745175484, num_rows_with_overhung_holes_weight=4.829358827867787, num_overhung_cells_weight=0.45083691756863487, num_overhanging_cells_weight=0.09445474241589495, num_narrow_gaps_weight=18.680178501026393, sum_of_cell_heights_weight=0.040802024923998, sum_of_adjacent_height_differences_weight=3.092694849387661, close_to_top_threshold=2)","[2237, 2321, 2486, 1537, 2607, 416, 4146, 2204, 9287, 5168, 2105, 398, 450, 5011, 4221, 5446, 453, 3256, 3482, 12504, 5739, 3348, 17577, 701, 1300, 1591, 14291, 4585, 4877, 15316, 57, 492, 569, 1062, 4799, 2958, 1503, 8834, 6992, 2470, 1051, 2395, 7246, 587, 642, 6703, 920, 4902, 3384, 2097, 3527, 2836, 7290, 5876, 7871, 4141, 7832, 15482, 443, 6451, 2222, 4389, 373, 5975, 7705, 384, 1655, 832, 3051, 4707, 1946, 9405, 1108, 2683, 73, 2402, 973, 892, 8908, 2145, 1003, 2958, 20360, 613, 28752, 5998, 4414, 3156, 158, 150, 1209, 12071, 6956, 549, 713, 3555, 11871, 99, 345, 2937, 5272, 5018, 994, 3514, 8206, 15136, 1170, 6649, 236, 943, 8358, 3710, 883, 5167, 2706, 455, 3742, 3090, 4763, 99, 691, 2816, 1890, 8316, 246, 1360, 3771, 6574, 11786, 927, 3997, 2562, 1762, 660, 6955, 6598, 13502, 1781, 1680, 14416, 9715, 6146, 8394, 1177, 496, 2753, 4163, 8462, 3871, 4317, 3979, 1012, 6077, 300, 617, 1068, 3033, 68, 2813, 6048, 2283, 6969, 642, 2838, 2411, 9971, 86, 15260, 14562, 3261, 1237, 1177, 700, 10615, 3278, 3510, 1042, 3099, 11989, 7713, 274, 6626, 452, 6420, 1073, 4127, 1858, 5581, 4949, 1084, 1873, 359, 10822, 7909, 5575, 2386, 5541, 11396, 3661, 1022]","{'checkpoint': 'D:\\dev\\python\\tetris_tdd\\src\\tetris\\heuristic_bot_gym\\.checkpoints\\15x10\\finetuning\\2025-02-14_18-32-06_fitness-18837.pkl', 'top_k': 3, 'previous_mean_score': 4838.02, 'previous_median_score': 3475.0, 'previous_max_score': 14752, 'previous_min_score': 91}"
4461.76,3177.0,25661,19,13,200,tetris.heuristic_bot_gym.evaluators.parallel_within_bot.ParallelWithinBotEvaluator,"{'board_size': (15, 10), 'max_evaluation_frames': 1000000, 'block_selection_fn_from_seed': <function SpawnStrategyImpl.truly_random_select_fn>, 'ui_class': <class 'tetris.ui.cli.ui.CLI'>, 'fps': 60, 'score_log_freq': 1000}","Heuristic(sum_of_cell_heights_close_to_top_weight=27.399711672555004, num_distinct_overhangs_weight=14.080165891093637, num_rows_with_overhung_holes_weight=7.216495137688838, num_overhung_cells_weight=0.5576408493035356, num_overhanging_cells_weight=0.0382481588693553, num_narrow_gaps_weight=18.175328969446788, sum_of_cell_heights_weight=0.05763790229895012, sum_of_adjacent_height_differences_weight=3.5553979984566655, close_to_top_threshold=2)","[3879, 186, 5954, 131, 1177, 13595, 210, 2092, 8325, 3292, 330, 5602, 2540, 2518, 1091, 2956, 9148, 5655, 524, 2658, 19, 1512, 972, 20674, 10640, 3307, 3846, 4964, 3442, 2564, 10821, 2057, 1763, 1745, 4138, 4365, 451, 1817, 1973, 558, 7912, 4044, 102, 468, 1707, 88, 6582, 5763, 6763, 800, 3826, 3523, 3838, 13474, 4865, 2945, 148, 2697, 660, 1820, 11356, 3368, 5864, 905, 7679, 6892, 9137, 7017, 6261, 3212, 109, 10847, 11055, 2649, 8598, 2118, 7296, 1707, 2891, 2138, 1852, 1774, 934, 2131, 6761, 9311, 998, 53, 1030, 843, 3769, 2572, 1932, 17199, 100, 5929, 4113, 1755, 1407, 1948, 3510, 299, 916, 2169, 2240, 10845, 6921, 462, 866, 691, 4473, 7400, 4294, 1506, 3314, 434, 598, 11357, 6178, 6857, 2209, 783, 4025, 3504, 2576, 6208, 5220, 817, 4067, 4103, 2360, 3790, 6412, 4754, 196, 19399, 9102, 2906, 9862, 3944, 91, 1146, 1450, 5048, 2731, 4522, 4542, 8442, 4269, 13691, 108, 9417, 3000, 1942, 713, 23443, 225, 4582, 8296, 3246, 5828, 7005, 5613, 24019, 3904, 5703, 3142, 9667, 15766, 7510, 750, 577, 703, 283, 6645, 1670, 1460, 4870, 8912, 1261, 1057, 5710, 137, 25661, 3618, 1382, 6986, 14959, 7626, 418, 7837, 445, 604, 749, 1962, 2286, 14017, 1103, 2660, 2350]","{'checkpoint': 'D:\\dev\\python\\tetris_tdd\\src\\tetris\\heuristic_bot_gym\\.checkpoints\\15x10\\2025-02-14_17-56-43_fitness-12621.pkl', 'top_k': 6, 'previous_mean_score': 4776.94, 'previous_median_score': 3155.5, 'previous_max_score': 15009, 'previous_min_score': 707}"
4094.045,2630.0,22249,57,13,200,tetris.heuristic_bot_gym.evaluators.parallel_within_bot.ParallelWithinBotEvaluator,"{'board_size': (15, 10), 'max_evaluation_frames': 1000000, 'block_selection_fn_from_seed': <function SpawnStrategyImpl.truly_random_select_fn>, 'ui_class': <class 'tetris.ui.cli.ui.CLI'>, 'fps': 60, 'score_log_freq': 1000}","Heuristic(sum_of_cell_heights_close_to_top_weight=47.169071375624945, num_distinct_overhangs_weight=16.40935187324947, num_rows_with_overhung_holes_weight=4.568868340276466, num_overhung_cells_weight=0.444707332769668, num_overhanging_cells_weight=0.08849856469506319, num_narrow_gaps_weight=17.619959306815964, sum_of_cell_heights_weight=0.03909440306967335, sum_of_adjacent_height_differences_weight=3.0890431073511455, close_to_top_threshold=2)","[6911, 2961, 10324, 2117, 842, 1619, 1533, 574, 3321, 1030, 1840, 13581, 1572, 9459, 6094, 2614, 3366, 1330, 2903, 368, 2031, 4941, 431, 2800, 17287, 925, 3155, 1172, 7768, 1779, 57, 20504, 7003, 3034, 1728, 1727, 13857, 3811, 2977, 3767, 7864, 2050, 11067, 2130, 4719, 2693, 1150, 1076, 9660, 18840, 2249, 1271, 4737, 3884, 1251, 390, 7326, 2416, 372, 1652, 1852, 19646, 4691, 1587, 4456, 5591, 722, 826, 9861, 553, 437, 476, 5942, 5389, 73, 3336, 1175, 3581, 1677, 2655, 6437, 2046, 313, 3396, 5449, 1166, 2325, 1544, 1767, 1687, 8365, 14614, 7135, 2345, 1489, 2400, 830, 99, 11257, 1078, 6235, 8713, 612, 8911, 128, 896, 932, 8007, 2813, 1546, 4466, 10905, 2286, 1917, 22249, 2011, 1927, 4672, 736, 99, 599, 4249, 1564, 3445, 2203, 1527, 2347, 644, 3660, 1199, 7135, 7844, 1152, 1601, 1038, 4786, 8009, 16128, 2902, 641, 100, 8163, 3150, 1941, 135, 2680, 6359, 1354, 5792, 4316, 3135, 7644, 15685, 492, 687, 2646, 10569, 68, 2702, 1952, 1935, 3977, 2504, 3369, 1484, 2389, 7992, 3433, 6983, 4542, 2988, 15471, 12705, 2966, 10268, 3441, 3282, 1115, 6428, 3490, 399, 2345, 13548, 1108, 4167, 1258, 1677, 5660, 4956, 908, 2549, 3520, 2575, 4301, 2155, 3921, 2423, 1048, 3667, 1380]","{'checkpoint': 'D:\\dev\\python\\tetris_tdd\\src\\tetris\\heuristic_bot_gym\\.checkpoints\\15x10\\finetuning\\2025-02-14_21-29-15_fitness-11822.pkl', 'top_k': 7, 'previous_mean_score': 4642.72, 'previous_median_score': 2746.0, 'previous_max_score': 17738, 'previous_min_score': 121}"
4115.345,3084.0,24948,74,13,200,tetris.heuristic_bot_gym.evaluators.parallel_within_bot.ParallelWithinBotEvaluator,"{'board_size': (15, 10), 'max_evaluation_frames': 1000000, 'block_selection_fn_from_seed': <function SpawnStrategyImpl.truly_random_select_fn>, 'ui_class': <class 'tetris.ui.cli.ui.CLI'>, 'fps': 60, 'score_log_freq': 1000}","Heuristic(sum_of_cell_heights_close_to_top_weight=31.561405827755127, num_distinct_overhangs_weight=14.28200459973235, num_rows_with_overhung_holes_weight=5.992567087282148, num_overhung_cells_weight=0.47296546559291547, num_overhanging_cells_weight=0.04961999808069783, num_narrow_gaps_weight=20.434313335543326, sum_of_cell_heights_weight=0.04895973843887606, sum_of_adjacent_height_differences_weight=2.9046525787750297, close_to_top_threshold=2)","[2053, 4251, 12036, 114, 961, 6986, 1530, 9855, 774, 1667, 643, 3598, 6374, 821, 22010, 3856, 2476, 9943, 2279, 640, 929, 3641, 1747, 500, 360, 875, 757, 119, 9997, 3969, 6072, 1089, 3707, 5237, 2489, 544, 4924, 9227, 556, 7500, 4400, 5084, 3720, 499, 5011, 2678, 18307, 8697, 12033, 163, 1734, 258, 3694, 3142, 1634, 315, 3091, 4570, 1272, 1347, 9201, 992, 3077, 640, 10499, 310, 6142, 4618, 4063, 5943, 8224, 5788, 1107, 3516, 3182, 1796, 74, 13060, 1025, 2644, 580, 1884, 24948, 1267, 1599, 3276, 5295, 92, 102, 198, 624, 2934, 784, 7383, 1171, 903, 3109, 4634, 105, 1127, 4942, 218, 3321, 3525, 1598, 8298, 3000, 11393, 1292, 4831, 3011, 12244, 5269, 5319, 5693, 451, 612, 633, 5150, 793, 2284, 6148, 2736, 7054, 3651, 2225, 6174, 644, 8592, 2221, 6539, 137, 1282, 7304, 1458, 22013, 2070, 156, 2753, 1397, 4722, 7429, 3305, 1245, 10325, 1198, 102, 10184, 4583, 4322, 2166, 8331, 3396, 169, 10258, 4520, 16428, 5816, 11767, 2079, 1075, 5154, 10962, 4040, 6550, 1417, 112, 486, 3126, 3222, 603, 5953, 6294, 2121, 135, 8461, 8830, 7100, 4217, 1212, 1226, 480, 6939, 3431, 8351, 5838, 1901, 1577, 106, 7026, 11481, 612, 459, 2549, 5571, 9558, 1545, 1373, 935, 3594]","{'checkpoint': 'D:\\dev\\python\\tetris_tdd\\src\\tetris\\heuristic_bot_gym\\.checkpoints\\15x10\\finetuning\\2025-02-14_20-13-33_fitness-11619.pkl', 'top_k': 8, 'previous_mean_score': 4535.16, 'previous_median_score': 3540.5, 'previous_max_score': 19107, 'previous_min_score': 219}"
3680.5,2816.5,17449,57,13,200,tetris.heuristic_bot_gym.evaluators.parallel_within_bot.ParallelWithinBotEvaluator,"{'board_size': (15, 10), 'max_evaluation_frames': 1000000, 'block_selection_fn_from_seed': <function SpawnStrategyImpl.truly_random_select_fn>, 'ui_class': <class 'tetris.ui.cli.ui.CLI'>, 'fps': 60, 'score_log_freq': 1000}","Heuristic(sum_of_cell_heights_close_to_top_weight=60.561523163932996, num_distinct_overhangs_weight=18.78185992744782, num_rows_with_overhung_holes_weight=4.7917726988656595, num_overhung_cells_weight=0.6111311457570162, num_overhanging_cells_weight=0.10900951127748809, num_narrow_gaps_weight=19.018866476311302, sum_of_cell_heights_weight=0.045358983549209086, sum_of_adjacent_height_differences_weight=3.189098893662689, close_to_top_threshold=2)","[89, 2530, 5190, 72, 5255, 1928, 3677, 4915, 1816, 1535, 7317, 11612, 1559, 4850, 1379, 5615, 1522, 935, 1004, 3361, 993, 6601, 8396, 2720, 259, 8243, 1672, 2924, 1467, 1988, 57, 3613, 137, 15105, 853, 2303, 3475, 5941, 3034, 3499, 547, 4495, 11514, 2127, 7033, 5471, 274, 3526, 7875, 6214, 3458, 2986, 3596, 9160, 1559, 970, 1516, 5191, 5137, 3031, 2364, 3969, 5040, 1808, 2790, 903, 2723, 4986, 3982, 4048, 170, 791, 484, 495, 73, 2767, 6446, 891, 5243, 2019, 4932, 2059, 2965, 2844, 10626, 255, 142, 5996, 3285, 1105, 1332, 3313, 2703, 326, 699, 1322, 369, 97, 13092, 5698, 1963, 3148, 3955, 3438, 11348, 4300, 2987, 7398, 236, 12585, 1477, 3440, 17449, 5644, 2175, 3112, 14694, 1520, 3444, 5001, 2205, 2366, 8863, 222, 575, 9052, 456, 4906, 3621, 8731, 1758, 454, 3868, 803, 3909, 5710, 85, 840, 7657, 6096, 12043, 8706, 1470, 9191, 493, 1284, 5922, 428, 830, 427, 2679, 1012, 3044, 314, 2499, 6754, 2324, 68, 338, 6163, 1067, 3061, 2486, 4087, 7120, 499, 86, 4201, 373, 17265, 776, 1015, 6969, 2324, 7870, 1673, 3635, 7146, 12851, 1159, 245, 9054, 5321, 9020, 908, 339, 1587, 2843, 5783, 4047, 741, 447, 1474, 4488, 5579, 2304, 2308, 1032, 4325, 839]","{'checkpoint': 'D:\\dev\\python\\tetris_tdd\\src\\tetris\\heuristic_bot_gym\\.checkpoints\\15x10\\finetuning\\2025-02-14_21-08-57_fitness-17454.pkl', 'top_k': 4, 'previous_mean_score': 4527.46, 'previous_median_score': 3158.0, 'previous_max_score': 17624, 'previous_min_score': 93}"
4019.97,3197.5,21619,57,13,200,tetris.heuristic_bot_gym.evaluators.parallel_within_bot.ParallelWithinBotEvaluator,"{'board_size': (15, 10), 'max_evaluation_frames': 1000000, 'block_selection_fn_from_seed': <function SpawnStrategyImpl.truly_random_select_fn>, 'ui_class': <class 'tetris.ui.cli.ui.CLI'>, 'fps': 60, 'score_log_freq': 1000}","Heuristic(sum_of_cell_heights_close_to_top_weight=50.20286312184887, num_distinct_overhangs_weight=15.765193277305839, num_rows_with_overhung_holes_weight=4.480275683157921, num_overhung_cells_weight=0.46789982353757736, num_overhanging_cells_weight=0.08643905748559258, num_narrow_gaps_weight=17.966931862312506, sum_of_cell_heights_weight=0.042248860605561864, sum_of_adjacent_height_differences_weight=3.0562643268153287, close_to_top_threshold=2)","[2858, 3926, 1998, 4732, 833, 3440, 818, 5142, 2204, 7952, 2464, 9973, 1960, 17273, 2628, 2908, 4756, 3772, 3261, 1236, 8153, 3275, 1147, 2568, 4149, 9129, 2894, 2947, 876, 625, 57, 12425, 2184, 7713, 853, 1818, 400, 677, 1592, 7543, 2843, 6051, 7179, 4183, 3755, 8346, 372, 4905, 2080, 903, 4130, 4980, 5599, 5709, 1338, 2374, 7905, 718, 1009, 1592, 5252, 4900, 9994, 1077, 5875, 5373, 7817, 6152, 5768, 2355, 1134, 4294, 2024, 2933, 301, 4562, 73, 3891, 6423, 1804, 6389, 395, 4301, 881, 8409, 7307, 8598, 2293, 6161, 2155, 1153, 588, 5917, 2079, 1215, 935, 3049, 99, 10056, 1093, 3152, 1518, 1034, 1132, 128, 6288, 6037, 7144, 4910, 3173, 2633, 6657, 3853, 3327, 3959, 453, 6442, 2371, 5689, 99, 2242, 16039, 5354, 2527, 3546, 3986, 372, 4688, 1428, 3552, 686, 917, 5960, 5365, 753, 209, 9070, 2836, 383, 3222, 663, 1871, 1741, 7091, 135, 5469, 3539, 1105, 3851, 2732, 499, 5047, 1170, 21619, 899, 5833, 1614, 10272, 4348, 2483, 2389, 7183, 8378, 3300, 6810, 5607, 1525, 1720, 2338, 561, 3713, 9882, 2725, 1574, 19047, 11602, 411, 1314, 10264, 4942, 2614, 3334, 8099, 312, 3589, 487, 6067, 1562, 1822, 1011, 5765, 4227, 8784, 2241, 10598, 4429, 12768, 1048, 3961, 4671]","{'checkpoint': 'D:\\dev\\python\\tetris_tdd\\src\\tetris\\heuristic_bot_gym\\.checkpoints\\15x10\\finetuning\\2025-02-14_22-24-43_fitness-14355.pkl', 'top_k': 2, 'previous_mean_score': 4499.86, 'previous_median_score': 3264.0, 'previous_max_score': 14630, 'previous_min_score': 47}"
3328.58,2316.0,17176,25,13,200,tetris.heuristic_bot_gym.evaluators.parallel_within_bot.ParallelWithinBotEvaluator,"{'board_size': (15, 10), 'max_evaluation_frames': 1000000, 'block_selection_fn_from_seed': <function SpawnStrategyImpl.truly_random_select_fn>, 'ui_class': <class 'tetris.ui.cli.ui.CLI'>, 'fps': 60, 'score_log_freq': 1000}","Heuristic(sum_of_cell_heights_close_to_top_weight=40.30050803102163, num_distinct_overhangs_weight=24.36614075169698, num_rows_with_overhung_holes_weight=4.851299599496616, num_overhung_cells_weight=0.6169639571498898, num_overhanging_cells_weight=0.08722353766609123, num_narrow_gaps_weight=27.07299597244237, sum_of_cell_heights_weight=0.046610439335728476, sum_of_adjacent_height_differences_weight=4.075042494368218, close_to_top_threshold=2)","[150, 3258, 9533, 3396, 1170, 5765, 779, 9034, 1747, 1537, 2237, 409, 1561, 6176, 6622, 2534, 1093, 459, 2004, 2190, 1416, 807, 15972, 5230, 523, 6413, 5612, 2304, 3380, 8687, 6081, 4194, 4310, 6765, 3293, 5000, 603, 3384, 981, 6044, 308, 5125, 5366, 356, 15913, 1471, 4387, 4129, 864, 487, 4364, 2830, 2196, 939, 4460, 2197, 8320, 5195, 4385, 351, 7967, 5996, 201, 1742, 4189, 906, 3524, 5023, 1735, 3686, 3349, 2598, 944, 2743, 62, 8104, 122, 16154, 1125, 75, 1541, 79, 25, 2724, 2170, 1204, 212, 5995, 101, 2709, 1782, 10542, 789, 1534, 358, 1086, 3432, 5473, 3120, 1351, 6260, 1781, 2256, 860, 501, 1511, 187, 3473, 1604, 1688, 3795, 155, 12153, 4759, 3057, 1520, 597, 622, 6883, 921, 685, 1754, 1379, 454, 1551, 673, 8914, 3734, 1920, 1377, 8429, 17176, 320, 2076, 5819, 7482, 5105, 5333, 979, 5029, 2328, 3810, 1269, 6592, 507, 717, 5488, 5137, 1370, 2789, 430, 1748, 2339, 1669, 746, 7450, 80, 8383, 814, 2952, 3108, 1334, 3031, 2656, 3216, 488, 7930, 2469, 6940, 1995, 771, 3226, 5498, 2489, 1026, 443, 8842, 4108, 13278, 4772, 273, 1337, 2612, 1129, 2918, 66, 4817, 1574, 9428, 4527, 1286, 443, 458, 1993, 3272, 81, 8772, 955, 5178, 2819]","{'checkpoint': 'D:\\dev\\python\\tetris_tdd\\src\\tetris\\heuristic_bot_gym\\.checkpoints\\15x10\\2025-02-12_20-46-31_fitness-10733.pkl', 'top_k': 2, 'previous_mean_score': 4475.16, 'previous_median_score': 3008.5, 'previous_max_score': 19373, 'previous_min_score': 230}"
